Course_Code,Year,Gender,Category,Merit_No,Seat_Types,Round,CET_Score,Chance_Of_Admit
510824510,2019-20,Male,EWS,72996,State Level,Round 1,20.2,0
510824510,2019-20,Female,EWS,72996,State Level,Round 1,20.2,0
510824510,2019-20,Male ,EWS,72772,State Level,Round 2,20.44,0
510824510,2019-20,Female,EWS,72772,State Level,Round 2,20.44,0
510824510,2020-21,Male,EWS,19429,State Level,Round 1,86.55,1
510824510,2020-21,Female ,EWS,19429,State Level,Round 1,86.55,1
510824510,2020-21,Male,EWS,17883,State Level,Round 2,87.66,1
510824510,2020-21,Female ,EWS,17883,State Level,Round 2,87.66,1
510824510,2020-21,Male,EWS,19430,State Level,Round 1,86.05,0
510824510,2020-21,Female ,EWS,19430,State Level,Round 1,86.05,0
510824510,2020-21,Male,EWS,17884,State Level,Round 2,87.16,0
510824510,2020-21,Female ,EWS,17884,State Level,Round 2,87.16,0
510824510,2021-22,Male,EWS,20839,State Level,Round 1,86.29,1
510824510,2021-22,Female ,EWS,20839,State Level,Round 1,86.29,1
510824510,2021-22,Male,EWS,17883,State Level,Round 2,87.66,1
510824510,2021-22,Female ,EWS,17883,State Level,Round 2,87.66,1
510824510,2021-22,Male,EWS,20840,State Level,Round 1,85.79,0
510824510,2021-22,Female ,EWS,20840,State Level,Round 1,85.79,0
510824510,2021-22,Male,EWS,17884,State Level,Round 2,87.16,0
510824510,2021-22,Female ,EWS,17884,State Level,Round 2,87.16,0
510824510,2022-23,Male,EWS,21166,State Level,Round 1,88.64,1
510824510,2022-23,Female,EWS,21166,State Level,Round 1,88.64,1
510824510,2022-23,Male,EWS,22635,State Level,Round 2,87.88,1
510824510,2022-23,Female,EWS,33635,State Level,Round 2,87.88,1
510824510,2022-23,Male,EWS,21167,State Level,Round 1,88.14,0
510824510,2022-23,Female,EWS,21167,State Level,Round 1,88.14,0
510824510,2022-23,Male,EWS,22636,State Level,Round 2,87.38,0
510824510,2022-23,Female,EWS,33636,State Level,Round 2,87.38,0
510824510,2019-20,Female,NT,20544,Home University,Round 1,89.67,1
510824510,2019-20,Male,NT,34142,Other Than Home University,Round 1,78.42,1
510824510,2019-20,Female,NT,36519,Home University,Round 2,75.73,1
510824510,2019-20,Female,NT,20545,Home University,Round 1,89.17,0
510824510,2019-20,Male,NT,34143,Other Than Home University,Round 1,77.92,0
510824510,2019-20,Female,NT,36520,Home University,Round 2,75.23,0
510824510,2020-21,Male,NT,21057,Home University Candidates,Round 1,85.45,1
510824510,2020-21,Male,NT,36530,Other than Home University Candidates,Round 1,73.68,1
510824510,2020-21,Male,NT,21058,Home University Candidates,Round 1,84.95,0
510824510,2020-21,Male,NT,36531,Other than Home University Candidates,Round 1,73.18,0
510824510,2021-22,Male,NT,21812,Home University Candidates,Round 1,85.67,1
510824510,2021-22,Male,NT,36530,Other than Home University Candidates,Round 1,73.68,1
510824510,2021-22,Male,NT,21813,Home University Candidates,Round 1,85.17,0
510824510,2021-22,Male,NT,36531,Other than Home University Candidates,Round 1,73.18,0
510824510,2022-23,Male,NT,22534,Home University,Round 1,87.89,1
510824510,2022-23,Male,NT,22535,Home University,Round 1,87.39,0
510824510,2019-20,Male,OBC,17689,Home University,Round 1,91.32,1
510824510,2019-20,Female,OBC,15900,Home University,Round 1,92.32,1
510824510,2019-20,Male,OBC,18028,Other Than Home University,Round 1,91.12,1
510824510,2019-20,Female,OBC,18908,Other Than Home University,Round 1,90.63,1
510824510,2019-20,Male ,OBC,17278,Home University,Round 2,91.56,1
510824510,2019-20,Male ,OBC,16889,Other Than Home University,Round 2,91.99,1
510824510,2019-20,Female,OBC,15619,Other Than Home University,Round 2,92.47,1
510824510,2019-20,Male,OBC,17690,Home University,Round 1,90.82,0
510824510,2019-20,Female,OBC,15901,Home University,Round 1,91.82,0
510824510,2019-20,Male,OBC,18029,Other Than Home University,Round 1,90.62,0
510824510,2019-20,Female,OBC,18909,Other Than Home University,Round 1,90.13,0
510824510,2019-20,Male ,OBC,17279,Home University,Round 2,91.06,0
510824510,2019-20,Male ,OBC,16890,Other Than Home University,Round 2,91.49,0
510824510,2019-20,Female,OBC,15620,Other Than Home University,Round 2,91.97,0
510824510,2020-21,Male,OBC,17055,Home University Candidates,Round 1,88.21,1
510824510,2020-21,Female ,OBC,13289,Home University Candidates,Round 1,90.87,1
510824510,2020-21,Male,OBC,21346,Other than Home University Candidates,Round 1,85.26,1
510824510,2020-21,Female ,OBC,23417,Other than Home University Candidates,Round 1,83.76,1
510824510,2020-21,Male,OBC,17035,Home University Candidates,Round 2,88.26,1
510824510,2020-21,Male,OBC,24163,Other than Home University Candidates,Round 2,83.32,1
510824510,2020-21,Male,OBC,17056,Home University Candidates,Round 1,87.71,0
510824510,2020-21,Female ,OBC,13290,Home University Candidates,Round 1,90.37,0
510824510,2020-21,Male,OBC,21347,Other than Home University Candidates,Round 1,84.76,0
510824510,2020-21,Female ,OBC,23418,Other than Home University Candidates,Round 1,83.26,0
510824510,2020-21,Male,OBC,17036,Home University Candidates,Round 2,87.76,0
510824510,2020-21,Male,OBC,24164,Other than Home University Candidates,Round 2,82.82,0
510824510,2021-22,Male,OBC,18673,Home University Candidates,Round 1,87.7,1
510824510,2021-22,Female ,OBC,16244,Home University Candidates,Round 1,89.39,1
510824510,2021-22,Male,OBC,17413,Other than Home University Candidates,Round 1,88.58,1
510824510,2021-22,Female ,OBC,19293,Other than Home University Candidates,Round 1,87.3,1
510824510,2021-22,Male,OBC,17035,Home University Candidates,Round 2,88.26,1
510824510,2021-22,Male,OBC,24163,Other than Home University Candidates,Round 2,83.32,1
510824510,2021-22,Male,OBC,18674,Home University Candidates,Round 1,87.2,0
510824510,2021-22,Female ,OBC,16245,Home University Candidates,Round 1,88.89,0
510824510,2021-22,Male,OBC,17414,Other than Home University Candidates,Round 1,88.08,0
510824510,2021-22,Female ,OBC,19294,Other than Home University Candidates,Round 1,86.8,0
510824510,2021-22,Male,OBC,17036,Home University Candidates,Round 2,87.76,0
510824510,2021-22,Male,OBC,24164,Other than Home University Candidates,Round 2,82.82,0
510824510,2022-23,Male,OBC,17635,Home University,Round 1,90.52,1
510824510,2022-23,Female,OBC,16272,Home University,Round 1,91.22,1
510824510,2022-23,Male,OBC,19652,Other Than Home University,Round 1,89.4,1
510824510,2022-23,Female,OBC,25678,Other Than Home University,Round 1,86.2,1
510824510,2022-23,Male,OBC,18380,Home University,Round 2,90.12,1
510824510,2022-23,Female,OBC,16965,Home University,Round 2,90.89,1
510824510,2022-23,Male,OBC,17636,Home University,Round 1,90.02,0
510824510,2022-23,Female,OBC,16273,Home University,Round 1,90.72,0
510824510,2022-23,Male,OBC,19653,Other Than Home University,Round 1,88.9,0
510824510,2022-23,Female,OBC,25679,Other Than Home University,Round 1,85.7,0
510824510,2022-23,Male,OBC,18381,Home University,Round 2,89.62,0
510824510,2022-23,Female,OBC,16966,Home University,Round 2,90.39,0
510824510,2019-20,Male,OPEN,16513,Home University,Round 1,91.99,1
510824510,2019-20,Female,OPEN,16034,Home University,Round 1,92.24,1
510824510,2019-20,Male,OPEN,17560,Other Than Home University,Round 1,91.4,1
510824510,2019-20,Female,OPEN,14327,Other Than Home University,Round 1,93.17,1
510824510,2019-20,Male ,OPEN,16956,Home University,Round 2,91.74,1
510824510,2019-20,Female,OPEN,7854,Home University,Round 2,96.36,1
510824510,2019-20,Male,OPEN,16514,Home University,Round 1,91.49,0
510824510,2019-20,Female,OPEN,16035,Home University,Round 1,91.74,0
510824510,2019-20,Male,OPEN,17561,Other Than Home University,Round 1,90.9,0
510824510,2019-20,Female,OPEN,14328,Other Than Home University,Round 1,92.67,0
510824510,2019-20,Male ,OPEN,16957,Home University,Round 2,91.24,0
510824510,2019-20,Female,OPEN,7855,Home University,Round 2,95.86,0
510824510,2020-21,Male,OPEN,15692,Home University Candidates,Round 1,89.13,1
510824510,2020-21,Female ,OPEN,12757,Home University Candidates,Round 1,91.17,1
510824510,2020-21,Male,OPEN,19370,Other than Home University Candidates,Round 1,86.57,1
510824510,2020-21,Female ,OPEN,16303,Other than Home University Candidates,Round 1,88.73,1
510824510,2020-21,Male,OPEN,15830,Home University Candidates,Round 2,89.1,1
510824510,2020-21,Female ,OPEN,12864,Home University Candidates,Round 2,91.13,1
510824510,2020-21,Male,OPEN,23355,Other than Home University Candidates,Round 2,83.8,1
510824510,2020-21,Female ,OPEN,22863,Other than Home University Candidates,Round 2,84.24,1
510824510,2020-21,Male,OPEN,15693,Home University Candidates,Round 1,88.63,0
510824510,2020-21,Female ,OPEN,12758,Home University Candidates,Round 1,90.67,0
510824510,2020-21,Male,OPEN,19371,Other than Home University Candidates,Round 1,86.07,0
510824510,2020-21,Female ,OPEN,16304,Other than Home University Candidates,Round 1,88.23,0
510824510,2020-21,Male,OPEN,15831,Home University Candidates,Round 2,88.6,0
510824510,2020-21,Female ,OPEN,12865,Home University Candidates,Round 2,90.63,0
510824510,2020-21,Male,OPEN,23356,Other than Home University Candidates,Round 2,83.3,0
510824510,2020-21,Female ,OPEN,22864,Other than Home University Candidates,Round 2,83.74,0
510824510,2021-22,Male,OPEN,17717,Home University Candidates,Round 1,88.46,1
510824510,2021-22,Female ,OPEN,15172,Home University Candidates,Round 1,90.05,1
510824510,2021-22,Male,OPEN,15488,Other than Home University Candidates,Round 1,89.85,1
510824510,2021-22,Female ,OPEN,19280,Other than Home University Candidates,Round 1,87.3,1
510824510,2021-22,Male,OPEN,15830,Home University Candidates,Round 2,89.1,1
510824510,2021-22,Female ,OPEN,12864,Home University Candidates,Round 2,91.13,1
510824510,2021-22,Male,OPEN,23355,Other than Home University Candidates,Round 2,83.8,1
510824510,2021-22,Female ,OPEN,22863,Other than Home University Candidates,Round 2,84.24,1
510824510,2021-22,Male,OPEN,17718,Home University Candidates,Round 1,87.96,0
510824510,2021-22,Female ,OPEN,15173,Home University Candidates,Round 1,89.55,0
510824510,2021-22,Male,OPEN,15489,Other than Home University Candidates,Round 1,89.35,0
510824510,2021-22,Female ,OPEN,19281,Other than Home University Candidates,Round 1,86.8,0
510824510,2021-22,Male,OPEN,15831,Home University Candidates,Round 2,88.6,0
510824510,2021-22,Female ,OPEN,12865,Home University Candidates,Round 2,90.63,0
510824510,2021-22,Male,OPEN,23356,Other than Home University Candidates,Round 2,83.3,0
510824510,2021-22,Female ,OPEN,22864,Other than Home University Candidates,Round 2,83.74,0
510824510,2022-23,Male,OPEN,16097,Home University,Round 1,91.25,1
510824510,2022-23,Female,OPEN,14932,Home University,Round 1,91.91,1
510824510,2022-23,Male,OPEN,19010,Other Than Home University,Round 1,89.8,1
510824510,2022-23,Female,OPEN,22755,Other Than Home University,Round 1,87.76,1
510824510,2022-23,Male,OPEN,16975,Home University,Round 2,90.85,1
510824510,2022-23,Female,OPEN,15426,Home University,Round 2,91.61,1
510824510,2022-23,Male,OPEN,17640,Other Than Home University,Round 2,90.52,1
510824510,2022-23,Male,OPEN,16098,Home University,Round 1,90.75,0
510824510,2022-23,Female,OPEN,14933,Home University,Round 1,91.41,0
510824510,2022-23,Male,OPEN,19011,Other Than Home University,Round 1,89.3,0
510824510,2022-23,Female,OPEN,22756,Other Than Home University,Round 1,87.26,0
510824510,2022-23,Male,OPEN,16976,Home University,Round 2,90.35,0
510824510,2022-23,Female,OPEN,15427,Home University,Round 2,91.11,0
510824510,2022-23,Male,OPEN,17641,Other Than Home University,Round 2,90.02,0
510824510,2019-20,Male ,PWD,15227,Home University,Round 2,92.69,1
510824510,2019-20,Female,PWD,15227,Home University,Round 2,92.69,1
510824510,2019-20,Male ,PWD,15228,Home University,Round 2,92.19,0
510824510,2019-20,Female,PWD,15228,Home University,Round 2,92.19,0
510824510,2020-21,Male,PWD,85180,Home University Candidates,Round 1,8.52,1
510824510,2020-21,Female ,PWD,85180,Home University Candidates,Round 1,8.52,1
510824510,2020-21,Male,PWD,85181,Home University Candidates,Round 1,8.02,0
510824510,2020-21,Female ,PWD,85181,Home University Candidates,Round 1,8.02,0
510824510,2021-22,Male,PWD,85180,Home University Candidates,Round 1,8.52,1
510824510,2021-22,Female ,PWD,85180,Home University Candidates,Round 1,8.52,1
510824510,2021-22,Male,PWD,85181,Home University Candidates,Round 1,8.02,0
510824510,2021-22,Female ,PWD,85181,Home University Candidates,Round 1,8.02,0
510824510,2022-23,Male,PWD,41539,Home University,Round 1,77.06,1
510824510,2022-23,Female,PWD,41539,Home University,Round 1,77.06,1
510824510,2022-23,Male,PWD,41540,Home University,Round 1,76.56,0
510824510,2022-23,Female,PWD,41540,Home University,Round 1,76.56,0
510824510,2019-20,Male,SC,45526,Home University,Round 1,63.5,1
510824510,2019-20,Female,SC,43140,Home University,Round 1,67.15,1
510824510,2019-20,Male,SC,50237,Other Than Home University,Round 1,56,1
510824510,2019-20,Male ,SC,27316,Home University,Round 2,84.87,1
510824510,2019-20,Female,SC,55667,Home University,Round 2,46.36,1
510824510,2019-20,Male ,SC,60278,Other Than Home University,Round 2,37.82,1
510824510,2019-20,Male ,SC,32867,Other Than Home University,Round 2,79.75,1
510824510,2019-20,Male,SC,45527,Home University,Round 1,63,0
510824510,2019-20,Female,SC,43141,Home University,Round 1,66.65,0
510824510,2019-20,Male,SC,50238,Other Than Home University,Round 1,55.5,0
510824510,2019-20,Male ,SC,27317,Home University,Round 2,84.37,0
510824510,2019-20,Female,SC,55668,Home University,Round 2,45.86,0
510824510,2019-20,Male ,SC,60279,Other Than Home University,Round 2,37.32,0
510824510,2019-20,Male ,SC,32868,Other Than Home University,Round 2,79.25,0
510824510,2020-21,Male,SC,29370,Home University Candidates,Round 1,79.48,1
510824510,2020-21,Female ,SC,43767,Home University Candidates,Round 1,67.47,1
510824510,2020-21,Male,SC,47016,Other than Home University Candidates,Round 1,64.3,1
510824510,2020-21,Female ,SC,30721,Other than Home University Candidates,Round 1,78.39,1
510824510,2020-21,Male,SC,46884,Home University Candidates,Round 2,64.3,1
510824510,2020-21,Female ,SC,42775,Home University Candidates,Round 2,68.24,1
510824510,2020-21,Male,SC,29371,Home University Candidates,Round 1,78.98,0
510824510,2020-21,Female ,SC,43768,Home University Candidates,Round 1,66.97,0
510824510,2020-21,Male,SC,47017,Other than Home University Candidates,Round 1,63.8,0
510824510,2020-21,Female ,SC,30722,Other than Home University Candidates,Round 1,77.89,0
510824510,2020-21,Male,SC,46885,Home University Candidates,Round 2,63.8,0
510824510,2020-21,Female ,SC,42776,Home University Candidates,Round 2,67.74,0
510824510,2021-22,Male,SC,35715,Home University Candidates,Round 1,75.91,1
510824510,2021-22,Female ,SC,27752,Home University Candidates,Round 1,81.61,1
510824510,2021-22,Male,SC,43131,Other than Home University Candidates,Round 1,70.71,1
510824510,2021-22,Female ,SC,39416,Other than Home University Candidates,Round 1,72.96,1
510824510,2021-22,Male,SC,46884,Home University Candidates,Round 2,64.3,1
510824510,2021-22,Female ,SC,42775,Home University Candidates,Round 2,68.24,1
510824510,2021-22,Male,SC,35716,Home University Candidates,Round 1,75.41,0
510824510,2021-22,Female ,SC,27753,Home University Candidates,Round 1,81.11,0
510824510,2021-22,Male,SC,43132,Other than Home University Candidates,Round 1,70.21,0
510824510,2021-22,Female ,SC,39417,Other than Home University Candidates,Round 1,72.46,0
510824510,2021-22,Male,SC,46885,Home University Candidates,Round 2,63.8,0
510824510,2021-22,Female ,SC,42776,Home University Candidates,Round 2,67.74,0
510824510,2022-23,Male,SC,34378,Home University,Round 1,81.03,1
510824510,2022-23,Female,SC,24134,Home University,Round 1,87.02,1
510824510,2022-23,Male,SC,33358,Other Than Home University,Round 1,81.83,1
510824510,2022-23,Male,SC,23770,Home University,Round 2,87.12,1
510824510,2022-23,Male,SC,34379,Home University,Round 1,80.53,0
510824510,2022-23,Female,SC,24135,Home University,Round 1,86.52,0
510824510,2022-23,Male,SC,33359,Other Than Home University,Round 1,81.33,0
510824510,2022-23,Male,SC,23771,Home University,Round 2,86.62,0
510824510,2019-20,Male,ST,41785,Home University,Round 1,69.06,1
510824510,2019-20,Female,ST,44355,Home University,Round 1,65.39,1
510824510,2019-20,Female,ST,39214,Other Than Home University,Round 1,72.48,1
510824510,2019-20,Male ,ST,55558,Home University,Round 2,40.56,1
510824510,2019-20,Female,ST,60377,Home University,Round 2,37.68,1
510824510,2019-20,Male,ST,41786,Home University,Round 1,68.56,0
510824510,2019-20,Female,ST,44356,Home University,Round 1,64.89,0
510824510,2019-20,Female,ST,39215,Other Than Home University,Round 1,71.98,0
510824510,2019-20,Male ,ST,55559,Home University,Round 2,40.06,0
510824510,2019-20,Female,ST,60378,Home University,Round 2,37.18,0
510824510,2020-21,Male,ST,57305,Home University Candidates,Round 1,52.02,1
510824510,2020-21,Female ,ST,82120,Other than Home University Candidates,Round 2,14.61,1
510824510,2020-21,Male,ST,57306,Home University Candidates,Round 1,51.52,0
510824510,2020-21,Female ,ST,82121,Other than Home University Candidates,Round 2,14.11,0
510824510,2021-22,Male,ST,40217,Home University Candidates,Round 1,72.58,1
510824510,2021-22,Female ,ST,82120,Other than Home University Candidates,Round 2,14.61,1
510824510,2021-22,Male,ST,40218,Home University Candidates,Round 1,72.08,0
510824510,2021-22,Female ,ST,82121,Other than Home University Candidates,Round 2,14.11,0
510824510,2022-23,Male,ST,48805,Home University,Round 1,72.7,1
510824510,2022-23,Female,ST,73480,Home University,Round 1,55.21,1
510824510,2022-23,Male,ST,45104,Other Than Home University,Round 1,74.97,1
510824510,2022-23,Male,ST,61517,Other Than Home University,Round 2,64.01,1
510824510,2022-23,Male,ST,48806,Home University,Round 1,72.2,0
510824510,2022-23,Female,ST,73481,Home University,Round 1,54.71,0
510824510,2022-23,Male,ST,45105,Other Than Home University,Round 1,74.47,0
510824510,2022-23,Male,ST,61518,Other Than Home University,Round 2,63.51,0
510824510,2019-20,Male,TFWS,8147,State Level,Round 1,96.22,1
510824510,2019-20,Female,TFWS,8147,State Level,Round 1,96.22,1
510824510,2019-20,Male ,TFWS,10134,State Level,Round 2,95.26,1
510824510,2019-20,Female,TFWS,10134,State Level,Round 2,95.26,1
510824510,2019-20,Male,TFWS,8148,State Level,Round 1,95.72,0
510824510,2019-20,Female,TFWS,8148,State Level,Round 1,95.72,0
510824510,2019-20,Male ,TFWS,10135,State Level,Round 2,94.76,0
510824510,2019-20,Female,TFWS,10135,State Level,Round 2,94.76,0
510824510,2020-21,Male,TFWS,10727,State Level,Round 1,92.55,1
510824510,2020-21,Female ,TFWS,10727,State Level,Round 1,92.55,1
510824510,2020-21,Male,TFWS,10728,State Level,Round 1,92.05,0
510824510,2020-21,Female ,TFWS,10728,State Level,Round 1,92.05,0
510824510,2021-22,Male,TFWS,11728,State Level,Round 1,92.31,1
510824510,2021-22,Female ,TFWS,11728,State Level,Round 1,92.31,1
510824510,2021-22,Male,TFWS,11729,State Level,Round 1,91.81,0
510824510,2021-22,Female ,TFWS,11729,State Level,Round 1,91.81,0
510824510,2022-23,Male,TFWS,11065,State Level,Round 1,94,1
510824510,2022-23,Female,TFWS,11065,State Level,Round 1,94,1
510824510,2022-23,Male,TFWS,11066,State Level,Round 1,93.5,0
510824510,2022-23,Female,TFWS,11066,State Level,Round 1,93.5,0
510824510,2019-20,Male,VJ,37094,Home University,Round 1,75.07,1
510824510,2019-20,Male,VJ,19061,Other Than Home University,Round 1,90.55,1
510824510,2019-20,Male ,VJ,32624,Other Than Home University,Round 2,79.99,1
510824510,2019-20,Male,VJ,37095,Home University,Round 1,74.57,0
510824510,2019-20,Male,VJ,19062,Other Than Home University,Round 1,90.05,0
510824510,2019-20,Male ,VJ,32625,Other Than Home University,Round 2,79.49,0
510824510,2020-21,Female ,VJ,82608,Home University Candidates,Round 1,13.48,1
510824510,2020-21,Female ,VJ,82609,Home University Candidates,Round 1,12.98,0
510824510,2021-22,Female ,VJ,82608,Home University Candidates,Round 1,13.48,1
510824510,2021-22,Female ,VJ,82609,Home University Candidates,Round 1,12.98,0
510824510,2022-23,Male,VJ,49047,Home University,Round 1,72.64,1
510824510,2022-23,Male,VJ,43890,Home University,Round 2,75.64,1
510824510,2022-23,Male,VJ,49048,Home University,Round 1,72.14,0
510824510,2022-23,Male,VJ,43891,Home University,Round 2,75.14,0
510924510,2019-20,Male,EWS,84947,State Level,Round 1,4.69,1
510924510,2019-20,Female,EWS,84947,State Level,Round 1,4.69,1
510924510,2019-20,Male ,EWS,84947,State Level,Round 2,4.69,1
510924510,2019-20,Female,EWS,84947,State Level,Round 2,4.69,1
510924510,2019-20,Male,EWS,84948,State Level,Round 1,4.19,0
510924510,2019-20,Female,EWS,84948,State Level,Round 1,4.19,0
510924510,2019-20,Male ,EWS,84948,State Level,Round 2,4.19,0
510924510,2019-20,Female,EWS,84948,State Level,Round 2,4.19,0
510924510,2020-21,Male,EWS,49421,State Level,Round 1,61.81,1
510924510,2020-21,Female ,EWS,49421,State Level,Round 1,61.81,1
510924510,2020-21,Male,EWS,61331,State Level,Round 2,47.77,1
510924510,2020-21,Female ,EWS,61331,State Level,Round 2,47.77,1
510924510,2020-21,Male,EWS,49422,State Level,Round 1,61.31,0
510924510,2020-21,Female ,EWS,49422,State Level,Round 1,61.31,0
510924510,2020-21,Male,EWS,61332,State Level,Round 2,47.27,0
510924510,2020-21,Female ,EWS,61332,State Level,Round 2,47.27,0
510924510,2021-22,Male,EWS,38591,State Level,Round 1,73.64,1
510924510,2021-22,Female ,EWS,38591,State Level,Round 1,73.64,1
510924510,2021-22,Male,EWS,61331,State Level,Round 2,47.77,1
510924510,2021-22,Female ,EWS,61331,State Level,Round 2,47.77,1
510924510,2021-22,Male,EWS,38592,State Level,Round 1,73.14,0
510924510,2021-22,Female ,EWS,38592,State Level,Round 1,73.14,0
510924510,2021-22,Male,EWS,61332,State Level,Round 2,47.27,0
510924510,2021-22,Female ,EWS,61332,State Level,Round 2,47.27,0
510924510,2022-23,Male,EWS,41870,State Level,Round 1,77.03,1
510924510,2022-23,Female,EWS,41870,State Level,Round 1,77.03,1
510924510,2022-23,Male,EWS,45749,State Level,Round 2,74.51,1
510924510,2022-23,Female,EWS,45749,State Level,Round 2,74.51,1
510924510,2022-23,Male,EWS,41871,State Level,Round 1,76.53,0
510924510,2022-23,Female,EWS,41871,State Level,Round 1,76.53,0
510924510,2022-23,Male,EWS,45750,State Level,Round 2,74.01,0
510924510,2022-23,Female,EWS,45750,State Level,Round 2,74.01,0
510924510,2019-20,Male,NT,45125,Home University,Round 1,64.13,1
510924510,2019-20,Female,NT,55185,Home University,Round 1,47.16,1
510924510,2019-20,Male,NT,31856,Other Than Home University,Round 1,80.74,1
510924510,2019-20,Male ,NT,39913,Home University,Round 2,71.57,1
510924510,2019-20,Female,NT,79506,Home University,Round 2,13.25,1
510924510,2019-20,Male ,NT,56697,Other Than Home University,Round 2,44.49,1
510924510,2019-20,Male,NT,45126,Home University,Round 1,63.63,0
510924510,2019-20,Female,NT,55186,Home University,Round 1,46.66,0
